Metabolite_Name	Reaction_ID
ca2	EX_ca2_e
cbl1	EX_cbl1_e
cl	EX_cl_e
cobalt2	EX_cobalt2_e
cu2	EX_cu2_e
fe2	EX_fe2_e
glcn	EX_glcn_e
h	EX_h_e
k	EX_k_e
mg2	EX_mg2_e
mn2	EX_mn2_e
mobd	EX_mobd_e
nh4	EX_nh4_e
ni2	EX_ni2_e
o2	EX_o2_e
pi	EX_pi_e
so4	EX_so4_e
zn2	EX_zn2_e
