Reaction_ID	Flux
Growth_rate	0.42
EX_glc__D_e	0.0
EX_fru_e	0.0
EX_glcn__D_e	-5.13
EX_glyc_e	0.0
EX_mal__L_e	0.0
EX_pyr_e	0.0
EX_glu__L_e	0.0
EX_succ_e	0.0
PGI	-0.723
PFK	2.825
FBP	0.0
FBA	2.825
TPI	2.825
GAPD	6.463
GAPDi_nadp	0.0
PGK	-6.463
PGM	-6.463
ENO	6.463
PYK	6.09
G6PDH2r	0.534
GND	5.664
RPE	3.548
RPI	2.116
TKT1	1.863
TKT2	1.685
TALA	1.863
PDH	3.554
CS	2.937
ICDHyr	2.937
SUCD1	2.427
FUM	2.427
MDH	2.225
PPCK	0.019
ME2	0.202
PC	1.506
EX_ac_e	0.0
