Reaction_ID	Flux
Growth_rate	0.4
EX_glc__D_e	0.0
EX_fru_e	0.0
EX_glcn__D_e	0.0
EX_glyc_e	-6.22
EX_mal__L_e	0.0
EX_pyr_e	0.0
EX_glu__L_e	0.0
EX_succ_e	0.0
PGI	-0.15
PFK	0.0
FBP	0.317
FBA	-0.315
TPI	5.905
GAPD	4.781
GAPDi_nadp	0.0
PGK	-4.781
PGM	-4.781
ENO	4.781
PYK	4.489
G6PDH2r	0.008
GND	0.008
RPE	-0.165
RPI	0.172
TKT1	-0.014
TKT2	-0.151
TALA	-0.014
PDH	2.592
CS	2.004
ICDHyr	2.004
SUCD1	1.62
FUM	1.62
MDH	0.622
PPCK	0.004
ME2	0.998
PC	1.968
EX_ac_e	0.11
