Reaction_ID	Flux
Growth_rate	0.75
EX_glc__D_e	-5.93
EX_fru_e	0.0
EX_glcn__D_e	0.0
EX_glyc_e	0.0
EX_mal__L_e	-14.6
EX_pyr_e	0.0
EX_glu__L_e	0.0
EX_succ_e	0.0
PGI	2.879
PFK	4.23
FBP	0.0
FBA	4.23
TPI	4.23
GAPD	7.054
GAPDi_nadp	0.0
PGK	-7.054
PGM	-7.054
ENO	7.054
PYK	16.759
G6PDH2r	2.894
GND	2.894
RPE	1.351
RPI	1.543
TKT1	0.882
TKT2	0.469
TALA	0.882
PDH	10.114
CS	1.739
ICDHyr	1.739
SUCD1	0.651
FUM	0.651
MDH	13.194
PPCK	10.546
ME2	2.057
PC	0.819
EX_ac_e	7.595
