,Reaction_ID,forward,reverse
R_EX_urate_e,R_EX_urate_e,4.49096068899646,4.490960689095852
R_2HXMPt6,R_2HXMPt6,4.490960689062822,4.49096068902949
R_EX_hexs_e,R_EX_hexs_e,4.490960689006156,4.490960689086154
R_2PGLYCt6,R_2PGLYCt6,4.490960689093488,4.490960688998823
R_2PGt6,R_2PGt6,4.490960689094118,4.490960688998192
R_3AMPt6,R_3AMPt6,4.490960689095968,4.490960688996344
R_3CMPt6,R_3CMPt6,4.490960689095877,4.490960688996434
R_EX_urea_e,R_EX_urea_e,4.490960688997052,4.4909606890952585
R_EX_uri_e,R_EX_uri_e,4.490960688996559,4.490960689095752
R_EX_val__L_e,R_EX_val__L_e,4.490960688996817,4.490960689095495
R_EX_xan_e,R_EX_xan_e,4.49096068899644,4.490960689095872
R_EX_xtsn_e,R_EX_xtsn_e,4.490960688996407,4.490960689095904
R_EX_xyl__D_e,R_EX_xyl__D_e,4.490960689108831,4.49096068898348
R_EX_zn2_e,R_EX_zn2_e,4.490960689012823,4.490960689079488
R_3GMPt6,R_3GMPt6,4.490960689095959,4.490960688996352
R_3PGt6,R_3PGt6,4.490960689093828,4.490960688998484
R_ABTt_1,R_ABTt_1,4.291794081111016,4.699369897387277
R_F6Pt6_2,R_F6Pt6_2,4.490960689093425,4.490960688998886
R_EX_hg2_e,R_EX_hg2_e,4.490960689012823,4.490960689079488
R_EX_his__L_e,R_EX_his__L_e,4.490960688996488,4.490960689095823
R_EX_hqn_e,R_EX_hqn_e,4.490960689012823,4.490960689079488
R_EX_hxan_e,R_EX_hxan_e,4.490960688996422,4.490960689095889
R_PHEt2r,R_PHEt2r,4.4909606890958305,4.490960688996481
R_ACACt2,R_ACACt2,4.490960689094788,4.490960688997522
R_EX_icit_e,R_EX_icit_e,4.49096068899742,4.490960689094892
R_2S6HCCi,R_2S6HCCi,3.9269006352867875,3.926743695286787
R_26DPAi,R_26DPAi,4.4909606890461555,4.4909606890461555
R_3AMBAt2,R_3AMBAt2,4.544948785357553,4.5449487853242205
R_FDH,R_FDH,4.922524148560178,4.097232903663367
R_FDMO_1,R_FDMO_1,2.820095697504233,2.820095697410283
R_EX_ile__L_e,R_EX_ile__L_e,4.490960688996697,4.490960689095614
R_AAMYL_1,R_AAMYL_1,3.4623881655507462,3.4623881654549526
R_EX_inost_e,R_EX_inost_e,4.490960689000696,4.490960689091614
R_EX_ins_e,R_EX_ins_e,4.490960688996394,4.4909606890959175
R_EX_istnt_e,R_EX_istnt_e,4.490960688998801,4.4909606890935105
R_ABTA,R_ABTA,2.9630495607963314,2.963049560697935
R_EX_k_e,R_EX_k_e,4.287429620016172,4.704153700016172
R_EX_lac__L_e,R_EX_lac__L_e,4.490960688999214,4.490960689093097
R_EX_lanth_e,R_EX_lanth_e,4.490960689012823,4.490960689079488
R_FBA,R_FBA,9.345455257323051,7.801657161027483
R_EX_lcts_e,R_EX_lcts_e,4.490960689001793,4.490960689090518
R_FBA2,R_FBA2,9.124445672065715,7.990626559876232
R_FBP,R_FBP,2.9707092102304666,5.392726952664404
R_FCLT_2,R_FCLT_2,4.222661614134571,4.222661614079017
R_FDMO1,R_FDMO1,2.8200956975056326,2.8200956974088838
R_FDMO2_1,R_FDMO2_1,2.820095697506444,2.820095697408072
R_FDMO3_1,R_FDMO3_1,2.8200956974772575,2.820095697437259
R_AB6PGH,R_AB6PGH,6.292948132341897,6.292948132341897
R_ABUTD,R_ABUTD,10.590775834433842,10.590775834433842
R_MACCOAT,R_MACCOAT,3.2973831370018374,3.4039412801856814
R_ACACT2r,R_ACACT2r,3.4086891794354814,3.2927902738517085
R_ACACT3r,R_ACACT3r,3.4086891794354814,3.2927902738517085
R_ACACT4r,R_ACACT4r,3.408689179435481,3.2927902738517085
R_ACACT5r_1,R_ACACT5r_1,3.4086891794354814,3.2927902738517085
R_ACACT6r_1,R_ACACT6r_1,3.4086891794354814,3.2927902738517085
R_ACACT7r,R_ACACT7r,3.380103144458453,3.320637890896962
R_FDMO4_1,R_FDMO4_1,2.8200956975554052,2.8200956973591116
R_FDMO5_1,R_FDMO5_1,2.820095697504649,2.820095697409867
R_FDMO6_1,R_FDMO6_1,2.8200956975046125,2.820095697409904
R_ACACT1r,R_ACACT1r,2.751921761174936,2.6360228557868006
R_ACCOAC,R_ACCOAC,4.469727021355966,4.512295228364841
R_EX_leu__L_e,R_EX_leu__L_e,4.490960688996693,4.490960689095617
R_ACGApts,R_ACGApts,4.490960689095293,4.490960688997019
R_ACGK,R_ACGK,4.806720739882832,5.000170594213236
R_FE2abc,R_FE2abc,4.490960689085043,4.4909606890072675
R_EX_lipt_e,R_EX_lipt_e,4.490960689012823,4.490960689079488
R_ACGS,R_ACGS,4.540147780315033,5.225295876050759
R_EX_lys__L_e,R_EX_lys__L_e,4.490960688996592,4.4909606890957185
R_FOLD3,R_FOLD3,4.534488437276674,4.534271907376458
R_ACMANAt2,R_ACMANAt2,4.490960689095377,4.490960688996935
R_ACNAMt2,R_ACNAMt2,4.490960689095593,4.490960688996718
R_EX_madg_e,R_EX_madg_e,4.490960689021157,4.490960689071155
R_ACNPLYS,R_ACNPLYS,4.490960688996718,4.490960689095593
R_EX_mal__D_e,R_EX_mal__D_e,4.490960688998719,4.490960689093592
R_ALLTNt2r,R_ALLTNt2r,4.490960689095801,4.49096068899651
R_EX_mal__L_e,R_EX_mal__L_e,4.490960688998659,4.490960689093651
R_ACt2r,R_ACt2r,4.490960689092104,4.490960689000208
R_ADEt2,R_ADEt2,4.4909606890959335,4.4909606889963785
R_ACKr,R_ACKr,4.664766671216268,4.990346901953191
R_ACLDC,R_ACLDC,3.4900632643439664,3.5546109910775017
R_ALLTAHr,R_ALLTAHr,4.040636820213459,4.991472584139076
R_EX_malt_e,R_EX_malt_e,4.490960689002489,4.490960689089823
R_AMPt6,R_AMPt6,4.490960689095969,4.490960688996343
R_ACODA_1,R_ACODA_1,3.819831470688855,4.504979566424581
R_ACOAD20,R_ACOAD20,9.863614501894062,9.916893573485984
R_EX_malttr_e,R_EX_malttr_e,4.4909606889987,4.490960689093612
R_EX_man1p_e,R_EX_man1p_e,4.490960688998394,4.490960689093917
R_ACONT,R_ACONT,5.337974179403569,5.270930110728209
R_ACOAD2,R_ACOAD2,6.057152385128925,5.941253479545152
R_EX_man6p_e,R_EX_man6p_e,4.490960688998394,4.490960689093917
R_ACOAD1,R_ACOAD1,15.947195962882395,15.831297057396993
R_ACOADH2,R_ACOADH2,9.89720301324818,9.883238237534528
R_ARABDI,R_ARABDI,4.4909606890563145,4.490960689035996
R_ARAB_Dt,R_ARAB_Dt,4.490960689056315,4.490960689035996
R_ACOTA,R_ACOTA,4.9349160316583625,4.7414661773279585
R_ARGKr,R_ARGKr,4.490960688996416,4.490960689095895
R_EX_man_e,R_EX_man_e,4.490960689195976,4.490960688896335
R_ARGPt6,R_ARGPt6,4.490960689095895,4.490960688996416
R_ACPS1,R_ACPS1,3.5958562492348882,3.813889213885753
R_EX_3ump_e,R_EX_3ump_e,4.4909606889965055,4.490960689095805
R_EX_mbdg_e,R_EX_mbdg_e,4.490960689021157,4.490960689071156
R_APATi,R_APATi,5.053793570618476,4.801798670717411
R_EX_melib_e,R_EX_melib_e,4.490960689000583,4.490960689091727
R_EX_meoh_e,R_EX_meoh_e,4.490960689021156,4.490960689071155
R_EX_met__D_e,R_EX_met__D_e,4.490960689012823,4.490960689079488
R_APRAUR,R_APRAUR,4.396663991238041,4.396663991337703
R_APSR,R_APSR,5.25901963105061,5.376566157087265
R_ACPpds,R_ACPpds,4.2653305651908076,4.4833635298416725
R_ACS,R_ACS,4.529706522532384,4.138390285191085
R_EX_met_L_ala__L_e,R_EX_met_L_ala__L_e,4.490960689012823,4.490960689079488
R_ALKP,R_ALKP,6.388572261714475,6.388572261786315
R_APTA1i,R_APTA1i,4.8397854296038165,4.587790529702752
R_EX_met__L_e,R_EX_met__L_e,4.490960688996603,4.490960689095708
R_ALCD19_L,R_ALCD19_L,8.31476449042799,8.31476449042799
R_ACS2,R_ACS2,4.259574924408557,4.4008366563049695
R_ACTD2,R_ACTD2,4.458802790808646,4.523350517348208
R_ACTNabc,R_ACTNabc,3.417032183825397,5.902410871641813
R_ACTNabc1,R_ACTNabc1,3.4170321837897597,5.9024108717033705
R_ALCD2y,R_ALCD2y,5.986305289861416,5.98630528976949
R_ADADir,R_ADADir,3.54811146301467,4.614071167028526
R_EX_metox__R_e,R_EX_metox__R_e,4.490960688996661,4.49096068909565
R_ADNK1,R_ADNK1,3.5401012424443246,4.624511469506903
R_ADCL,R_ADCL,4.536661736169147,4.536445206268931
R_ADD,R_ADD,3.9355255198885715,4.445068776154509
R_ALLTN,R_ALLTN,2.696650938072692,3.647486701998309
R_ALTRH,R_ALTRH,2.897287278605626,2.897287278514826
R_EX_metox_e,R_EX_metox_e,4.490960688996661,4.49096068909565
R_ARABRr,R_ARABRr,7.766273875356954,7.358698059080693
R_ARAI,R_ARAI,2.7776739465063804,3.1852497624717464
R_ARBTpts,R_ARBTpts,4.490960689062822,4.49096068902949
R_ADCS,R_ADCS,4.491068955301252,4.490852425401036
R_ADK1,R_ADK1,4.615433883440524,6.126285779807901
R_EX_mg2_e,R_EX_mg2_e,4.461055296817808,4.521066556817807
R_AMAA,R_AMAA,4.4909606890461555,4.4909606890461555
R_ADK2,R_ADK2,5.317468097533074,5.317468097435708
R_AMAOTr,R_AMAOTr,5.248770878225246,5.248770878225246
R_EX_mn2_e,R_EX_mn2_e,4.490960689012823,4.490960689079488
R_AMMQT7,R_AMMQT7,4.821046945218612,4.820890005218612
R_ANPRT,R_ANPRT,4.471486597988992,4.43942835808852
R_ADMDC,R_ADMDC,5.177829415494994,5.177829415594358
R_EX_mnl_e,R_EX_mnl_e,4.989481328880033,4.04224940051746
R_ADNt2,R_ADNt2,3.4788012090092426,3.4788012089096467
R_ADPDA,R_ADPDA,4.553021925826244,4.30102702592518
R_ADPRDP,R_ADPRDP,4.16279383354917,4.16279383354917
R_ANS,R_ANS,4.50701841444252,4.474960174542048
R_ANTIMt1,R_ANTIMt1,3.4810345437168944,3.481034543750227
R_EX_mobd_e,R_EX_mobd_e,4.490960689012823,4.490960689079488
R_AOXSr,R_AOXSr,5.30388279511841,5.30388279511841
R_ARBabc,R_ARBabc,4.123260569450911,4.8914512121760145
R_ARBt2r,R_ARBt2r,3.251596184243962,2.4834055412079623
R_ARGDC,R_ARGDC,3.8855195220828778,3.8855195221822414
R_ADPT,R_ADPT,5.043932707972886,4.41642513871211
R_ADSK,R_ADSK,5.427601967318872,5.209569002668007
R_ADSL2r,R_ADSL2r,4.746949542847212,5.590316808465221
R_ADSL1r,R_ADSL1r,5.148245661809322,5.154562070565311
R_ADSS,R_ADSS,5.024435604252027,5.030752013008016
R_AGDC,R_AGDC,3.9315616780189795,3.931561677920705
R_ARGN_1,R_ARGN_1,3.6692552801834935,4.333242127006981
R_ARGSL,R_ARGSL,4.923959309575237,5.474063766696979
R_ARGSS,R_ARGSS,4.783096442502517,5.333200899624258
R_AGMT,R_AGMT,4.004809540319405,4.004809540418769
R_AGPATr_BS,R_AGPATr_BS,4.5819806816579245,4.518496681653039
R_EX_mops_e,R_EX_mops_e,4.490960689012823,4.490960689079488
R_AGPR,R_AGPR,4.798436308056491,4.604986453726088
R_AHCYSNS,R_AHCYSNS,4.312808325791271,4.730679758204669
R_ASNt2r,R_ASNt2r,4.490960689095529,4.490960688996781
R_EX_mso3_e,R_EX_mso3_e,4.490960688999181,4.49096068909313
R_ASPt2r,R_ASPt2r,4.4909606890951395,4.490960688997172
R_AHMMPS_1,R_AHMMPS_1,5.317468097484391,5.317468097484391
R_AHSERL3,R_AHSERL3,5.134067601298995,5.134067601298995
