Reaction_ID	Metabolite_ID	Reaction_Flux
EX_ac_e	EX_ac_e	-13.584
BIOMASS_Ec_iJO1366_WT_53p95M	BIOMASS_Ec_iJO1366_WT_53p95M	0.29
