Reaction_ID	Metabolite_ID	Reaction_Flux
EX_fru_e	EX_fru_e	-8.328
BIOMASS_Ec_iJO1366_WT_53p95M	BIOMASS_Ec_iJO1366_WT_53p95M	0.4924
