"M.G_1"	"M.G_2"	"M.G_3"	"Glu_1"	"Glu_2"	"Glu_3"	"Fru_1"	"Fru_2"	"Fru_3"	"Mal_1"	"Mal_2"	"Mal_3"	"G.S_1"	"G.S_2"	"G.S_3"	"Pyr_1"	"Pyr_2"	"Pyr_3"	"Gly_1"	"Gly_2"	"Gly_3"	"Glucon_1"	"Glucon_2"	"Glucon_3"	"Gene_ID"
11.6079541666667	9.20345833333333	8.81165625	10.4822541666667	9.30356666666667	8.92281666666667	8.42499583333333	8.998875	8.63234583333333	9.702225	8.87705	8.848	8.15909583333333	11.1241291666667	10.8676041666667	10.8226833333333	11.4512625	11.8756208333333	9.01656666666667	8.12155416666667	8.5768	10.9002916666667	10.0453458333333	9.8346125	"new_1_148"
11.4208708333333	9.3930625	9.3813625	10.0396916666667	9.2350875	9.54299583333333	9.6314	9.12119166666667	9.19595625	9.200025	10.4011541666667	9.09169583333333	9.5154625	10.3161083333333	9.88783333333333	11.4050875	10.0888479166667	10.5234708333333	9.57817916666667	9.76915	9.27619375	10.8294541666667	9.8548375	9.34382083333333	"new_24_297_c"
13.9643291666667	14.2258791666667	14.2728333333333	14.1974041666667	14.2435083333333	14.2067208333333	14.029775	13.7173875	14.2067208333333	13.1271375	13.9353625	14.0384625	14.3819666666667	13.6895916666667	13.6755333333333	13.2667458333333	13.3481333333333	13.3518083333333	12.7864041666667	12.8329083333333	12.8659958333333	13.943425	14.210525	13.5356916666667	"new_150_409"
10.5732916666667	8.84976666666667	9.0465875	8.71515416666667	8.23715416666667	8.59007291666667	10.4221958333333	9.97508333333333	8.29154583333333	8.6843375	10.5538083333333	8.46330833333333	8.59530416666667	10.1791083333333	9.15490833333333	10.9099958333333	10.09601875	10.1249479166667	8.59851666666667	9.2241125	9.87464166666667	9.95930833333333	8.94914166666667	8.15062083333333	"new_299_1067_c"
13.0962541666667	13.0914708333333	13.072875	13.0708416666667	13.0823520833333	13.0795208333333	13.0914708333333	12.8905333333333	12.9637375	12.6469083333333	13.14365	13.0596958333333	13.0795208333333	12.3748833333333	12.3902208333333	12.0599666666667	12.1798375	12.2688958333333	11.8697541666667	11.7922916666667	11.5755875	12.7608291666667	12.8695208333333	13.0860416666667	"BSU00010"
13.3500708333333	13.1070333333333	13.1414	12.9673833333333	13.0546958333333	13.0708416666667	12.9816166666667	13.01475	12.8695208333333	12.75265	13.1232791666667	13.2209666666667	12.9718208333333	12.4252166666667	12.5711208333333	11.5690333333333	12.0406458333333	12.43655	11.9066083333333	12.1522125	12.2044833333333	12.9321916666667	12.6632166666667	12.9057041666667	"new_1751_1938"
12.8364166666667	12.6808791666667	12.5427125	12.4303958333333	12.688475	12.5652416666667	12.4753333333333	12.20065	12.5059958333333	12.6160666666667	12.7233625	12.7493708333333	12.5784875	11.9266916666667	11.6620875	11.0178333333333	11.4473125	11.6410833333333	11.833325	11.9389458333333	11.5377541666667	12.2674583333333	12.4053708333333	12.6325125	"BSU00020"
12.5427125	12.907725	12.4626916666667	13.0770166666667	12.7038333333333	12.6592041666667	12.7571	12.7804291666667	12.6081333333333	11.7403916666667	12.6765916666667	12.8100333333333	13.3411458333333	11.7730375	12.32288125	11.7581958333333	11.9730375	12.2754	11.839175	11.4988125	11.7519083333333	12.9259875	12.9363666666667	13.1833416666667	"BSU00030"
12.9701916666667	13.1414	13.1271375	13.0814083333333	13.4625875	13.3411458333333	13.377075	13.1357208333333	13.2289041666667	13.1887958333333	13.2411291666667	13.2077833333333	13.3025083333333	12.9995708333333	12.6996958333333	12.7935708333333	12.901575	12.8114958333333	12.8444916666667	12.7233625	13.1377666666667	13.1989125	13.4065875	13.4551333333333	"BSU00040"
13.1905875	13.1198125	13.2526083333333	13.1113041666667	13.5524083333333	13.4225083333333	13.3025083333333	13.1806375	13.2872583333333	13.2289041666667	13.3025083333333	13.472225	13.2649583333333	12.9623875	12.9239208333333	12.9404916666667	12.9517083333333	12.91185	12.6232625	12.6648916666667	12.7131125	13.2756708333333	13.5006541666667	13.3411458333333	"BSU00050"
