Reaction_ID	Metabolite_ID	Reaction_Flux
EX_succ_e	EX_succ_e	-3.35
EX_glu__L_e	EX_glu__L_e	-2.21
BIOMASS_BS_10	BIOMASS_BS_10	0.22
