Gene_ID	Expression
b0018	887.426599241584
b0242	2316.0943617415833
b1619	2583.402931186027
b1243	57913.88168118603
b3786	5801.026125630473
b4036	27298.600847852733
b1465	215.31820285269566
b0704	261.33191868602864
b2679	3676.0024034082503
b3659	73.51712715825109
b0059	849.553656186029
b2105	1216.72487701936
b4161	6141.228653408252
b1251	2367.20477840825
b2924	1791.149431186027
b0276	259.71890757491764
b1868	238.48385896380668
b1175	6283.375764519363
b2862	145.61146785269534
b3389	2007.7747631304735
b0322	2477.856181186027
b3392	149.90135535269533
b1656	4053.4100284082538
b3951	152.30900215825133
b2197	1773.92785479714
b2596	64.87500201936889
b3251	12093.133125630467
b0395	735.4248506304734
b4358	171.82492563047333
b1646	3740.5844867415835
b2342	2255.2534450749167
b0515	10453.954056186034
b3033	3866.41563951936
b0122	1955.418228408247
b2425	6323.095917297141
b1304	1780.24376590825
b2940	502.3899700749177
b1728	92.71319188047333
b3473	453.398781186029
b3178	8299.6234728527
b0914	1811.09529090825
b0132	914.2532214638054
b4340	288.09424646380666
b2207	582.918450630474
b2899	6230.318222852697
b4070	134.58231257491767
b2718	262.288649241584
b2029	14622.965945074933
b3508	34286.91418118603
b3680	135.57747257491732
b0361	9223.293764519376
b0094	10828.7870700749
b1469	145.815747019362
b0074	15674.632542297166
b3623	3265.6424867415867
b3790	728.6815770193621
b2920	105.65799326936214
b3731	42030.03182007491
b0050	1304.3080922971433
b0981	663.3060450749176
b0859	596.5790756304737
b0560	154.225417436029
b4314	12732.674292297133
b3156	1070.7814825749167
b1041	206.8154150749177
b3989	211.98296757491767
b1758	6149.6880006304755
b4061	174.91015326936233
b0565	111844.08348674199
b0860	8441.70594507492
b2464	8898.40670896381
b4357	314.865607574918
b4309	84.40683618602888
b1763	2376.400861741587
b0990	197.40762674158432
b1453	373.0560603526956
b4203	48676.066958963806
b3482	80.5637413943622
b3182	513.7029631304737
b1065	817.1529617415827
b2905	11229.086083963819
b2852	63.62768785269764
b2803	2263.99569229714
b0062	96.7366203527007
b0791	1097.069106186026
b1040	975.6159172971387
b3632	1636.7141214638034
b1752	1745.28320618603
b0415	10512.188625630488
b4280	901.037575630473
b3893	218.98204785269567
b2891	21405.244556186004
b3358	705.478689519362
b1856	839.8165589638066
b0798	485.84925479713974
b3543	9300.292236741583
