Gene_ID	Expression
b0018	1184.7864131304723
b0242	2066.8667325749198
b1619	7993.266750630467
b1243	44681.8644589638
b3786	4599.653445074917
b4036	41409.28640340827
b1465	281.28354507491764
b0704	267.393465908251
b2679	7161.469583963802
b3659	88.03350910269553
b0059	788.7377811860291
b2105	1391.4824103526935
b4161	5532.589368686026
b1251	2004.1917131304733
b2924	1478.4329075749167
b0276	289.08796729714
b1868	216.69498604714
b1175	6753.504972852704
b2862	143.44220507491767
b3389	1647.4326436860267
b0322	2002.831217297137
b3392	206.3018681304733
b1656	5801.78290340825
b3951	169.38527313047334
b2197	1821.9352228526968
b2596	63.0010371584796
b3251	9278.913597852703
b0395	1272.294095074917
b4358	420.1008800749173
b1646	7629.103028408266
b2342	4031.940375630473
b0515	10058.393736741597
b3033	3929.689792297139
b0122	1896.6149547971402
b2425	5888.650264519364
b1304	2327.2256978526966
b2940	490.25202007491765
b1728	87.26946590825105
b3473	388.57214507491796
b3178	8389.431083963811
b0914	1687.0483047971402
b0132	866.2421492415846
b4340	298.0102839638066
b2207	459.4538200749177
b2899	6944.560625630474
b4070	115.94863271380666
b2718	219.9593122971397
b2029	10094.237958963799
b3508	32459.3347367416
b3680	157.24614229713964
b0361	9217.851889519354
b0094	10235.750695074903
b1469	171.86764340825098
b0074	22958.4668895194
b3623	2505.64926451936
b3790	547.6499797971401
b2920	116.99577160269534
b3731	42231.2969589638
b0050	1417.8060756304733
b0981	710.6411922971397
b0859	560.7308159082513
b0560	193.391168408251
b4314	12706.2933617416
b3156	1135.28331451936
b1041	361.35942007491764
b3989	205.1062647971397
b1758	5968.63318118603
b4061	204.72814799158434
b0565	89972.11404229725
b0860	4081.947138130477
b2464	16730.77255618604
b4357	423.94515479714005
b4309	123.38668938047313
b1763	2111.5440978526967
b0990	174.83991632491768
b1453	281.938438130473
b4203	36484.875292297096
b3482	79.3770798665844
b3182	375.85602979714
b1065	774.8394256304728
b2905	7165.4674728527
b2852	68.592394033252
b2803	3028.478445074917
b0062	182.59323618603378
b0791	3507.434456186023
b1040	1364.0346936860308
b3632	1461.3629214638065
