Gene_ID	Expression
b0018	713.8100464638068
b0242	2790.494736741583
b1619	2491.0990006304733
b1243	35738.4369589638
b3786	4476.064708963807
b4036	26478.8494589638
b1465	144.35903243602866
b0704	143.468834658251
b2679	5494.992875630473
b3659	89.94861569607575
b0059	1120.261636741587
b2105	1055.0915117415834
b4161	5683.902653408249
b1251	2227.3937922971368
b2924	2179.48180618603
b0276	279.234940908251
b1868	223.357031186029
b1175	4441.799167297143
b2862	111.97601660269532
b3389	2327.46432007492
b0322	1367.8145284082511
b3392	123.65042271380666
b1656	10199.691181186028
b3951	111.38629938047302
b2197	1707.964307574917
b2596	17.67615441691943
b3251	14885.262278408232
b0395	534.9090797971401
b4358	76.40148507491772
b1646	2892.8291395193605
b2342	2178.7531117415833
b0515	3424.9534867415837
b3033	4142.416472852693
b0122	1146.63838951936
b2425	8977.118097852697
b1304	2383.2187089638064
b2940	572.7865742415843
b1728	31.158334546259535
b3473	349.04453813047303
b3178	8397.741445074915
b0914	1307.46345479714
b0132	1045.6494034082518
b4340	369.5295659082513
b2207	242.63242313047303
b2899	6145.890472852695
b4070	50.609669282824065
b2718	175.56405771380636
b2029	8122.654583963806
b3508	7693.50244507492
b3680	54.58890043084867
b0361	3472.8646672971367
b0094	15853.353583963835
b1469	67.78133363046227
b0074	19827.833195074938
b3623	2471.4937228526965
b3790	910.6380436860294
b2920	30.242198627927134
b3731	33123.970292297134
b0050	1024.3643811860281
b0981	288.191690908251
b0859	354.6685922971403
b0560	85.9289242415844
b4314	10599.58504229716
b3156	1067.354833963807
b1041	240.06498021380636
b3989	76.20160257491774
b1758	617.698403408251
b4061	197.34477785269533
b0565	87453.05043118594
b0860	5454.784514519363
b2464	8475.261097852694
b4357	264.76283688047334
b4309	41.87659606140139
b1763	1915.3279311860267
b0990	80.45996160269551
b1453	182.5002399360287
b4203	34090.92751451933
b3482	34.05634931823013
b3182	360.594652019362
b1065	1804.31384368603
b2905	8623.225181186022
b2852	18.31316967410003
b2803	2870.49963951936
b0062	17.55248848118669
b0791	1284.8491284082502
b1040	569.3185450749174
b3632	1944.1901311860302
b1752	862.944532574918
b0415	10630.944070074933
b4280	599.7279367415844
b3893	260.807440908251
b2891	22688.134375630467
b3358	837.13324229714
b1856	994.072713130473
b0798	389.3874075749174
b3543	11141.952500630452
b0624	525.9220728526954
b1820	358.316971463807
b0329	9527.462695074906
b3170	12055.807306186041
b0441	2066.2659020193637
b1684	1900.15096313047
b0359	393.13471035269566
b1134	1418.0143422971369
b0211	4536.444431186026
b3015	1031.9444339638046
b1879	343.949238130473
b0077	2940.682597852697
b1097	1397.5652797971368
b0421	2306.2812242415835
b0041	78.28893257491774
b0993	3257.0702089638066
b1455	31.8901144118913
b0513	65.87969701987193
b3704	28842.0133478527
b2027	7127.4659450749205
b1408	21.930813592791036
b3733	22990.0498200749
b1615	116.40850410269525
b3317	128302.1676534082
b0561	23.542989339752136
