Reaction_ID	Flux
Growth_rate	0.1
EX_glc__D_e	-14.0833333333333
HEX1	14.0833333333333
PGI	5.67699166666667
PFK	8.60350833333333
FBA	8.60350833333333
TPI	8.60350833333331
GAPD	17.7266916666667
PGK	-17.7266916666667
PGM	-17.7266916666667
ENO	17.7266916666667
PYK	17.0323833333333
PDHm	8.69786666666667
CSm	8.29930833333331
ACONTm	8.29930833333333
ICDHym	8.29930833333333
AKGDam	6.83323333333333
AKGDbm	6.83323333333333
SUCOASm	-6.83323333333332
SUCD1m	6.83323333333333
FUMm	42.2499999999999
G6PDH2r	4.94465833333333
PGL	4.94465833333333
GND	4.94465833333333
TKT1	4.94465833333332
TALA	1.63366666666667
TKT2	1.29285
ME2m	5.0531
PC	7.87399166666667
ACS	3.2955
ALDD2y	3.29690833333333
PYRDC	3.19269166666667
